row_id,month,ratio_id,ratio,value,value_class
R052,2024-11,donation_coverage_pct,Donation coverage of monthly cost %,14.04,SYNTHETIC
R053,2024-12,cost_per_participant,Cost per participant $ (monthly),116.36,SYNTHETIC
R054,2024-12,donation_coverage_pct,Donation coverage of monthly cost %,31.14,SYNTHETIC
R055,2025-01,cost_per_participant,Cost per participant $ (monthly),105.79,SYNTHETIC
R056,2025-01,donation_coverage_pct,Donation coverage of monthly cost %,14.73,SYNTHETIC
R057,2025-02,cost_per_participant,Cost per participant $ (monthly),115.07,SYNTHETIC
R058,2025-02,donation_coverage_pct,Donation coverage of monthly cost %,14.21,SYNTHETIC
R059,2025-03,cost_per_participant,Cost per participant $ (monthly),114.78,SYNTHETIC
R060,2025-03,donation_coverage_pct,Donation coverage of monthly cost %,35.73,SYNTHETIC
R061,2025-04,cost_per_participant,Cost per participant $ (monthly),116.2,SYNTHETIC
R062,2025-04,donation_coverage_pct,Donation coverage of monthly cost %,13.58,SYNTHETIC
R063,2025-05,cost_per_participant,Cost per participant $ (monthly),115.76,SYNTHETIC
R064,2025-05,donation_coverage_pct,Donation coverage of monthly cost %,14.03,SYNTHETIC
R065,2025-06,cost_per_participant,Cost per participant $ (monthly),115.76,SYNTHETIC
R066,2025-06,donation_coverage_pct,Donation coverage of monthly cost %,13.67,SYNTHETIC
R067,2025-07,cost_per_participant,Cost per participant $ (monthly),117.76,SYNTHETIC
R068,2025-07,donation_coverage_pct,Donation coverage of monthly cost %,13.55,SYNTHETIC
R069,2025-08,cost_per_participant,Cost per participant $ (monthly),112.87,SYNTHETIC
R070,2025-08,donation_coverage_pct,Donation coverage of monthly cost %,14.59,SYNTHETIC
R071,2025-09,cost_per_participant,Cost per participant $ (monthly),108.06,SYNTHETIC
R072,2025-09,donation_coverage_pct,Donation coverage of monthly cost %,13.66,SYNTHETIC
R073,2025-10,cost_per_participant,Cost per participant $ (monthly),114.79,SYNTHETIC
R074,2025-10,donation_coverage_pct,Donation coverage of monthly cost %,16.63,SYNTHETIC
R075,2025-11,cost_per_participant,Cost per participant $ (monthly),113.2,SYNTHETIC
R076,2025-11,donation_coverage_pct,Donation coverage of monthly cost %,14.77,SYNTHETIC
R077,2025-12,cost_per_participant,Cost per participant $ (monthly),108.95,SYNTHETIC
R078,2025-12,donation_coverage_pct,Donation coverage of monthly cost %,31.63,SYNTHETIC
R079,2026-01,cost_per_participant,Cost per participant $ (monthly),105.65,SYNTHETIC
R080,2026-01,donation_coverage_pct,Donation coverage of monthly cost %,14.47,SYNTHETIC
R081,2026-02,cost_per_participant,Cost per participant $ (monthly),113.15,SYNTHETIC
R082,2026-02,donation_coverage_pct,Donation coverage of monthly cost %,15.19,SYNTHETIC
R083,2026-03,cost_per_participant,Cost per participant $ (monthly),112.47,SYNTHETIC
R084,2026-03,donation_coverage_pct,Donation coverage of monthly cost %,14.5,SYNTHETIC
R085,2026-04,cost_per_participant,Cost per participant $ (monthly),111.31,SYNTHETIC
R086,2026-04,donation_coverage_pct,Donation coverage of monthly cost %,16.21,SYNTHETIC
R087,2026-05,cost_per_participant,Cost per participant $ (monthly),110.87,SYNTHETIC
R088,2026-05,donation_coverage_pct,Donation coverage of monthly cost %,13.73,SYNTHETIC
R089,2026-06,cost_per_participant,Cost per participant $ (monthly),112.14,SYNTHETIC
R090,2026-06,donation_coverage_pct,Donation coverage of monthly cost %,14.39,SYNTHETIC
R091,2026-07,cost_per_participant,Cost per participant $ (monthly),108.81,SYNTHETIC
R092,2026-07,donation_coverage_pct,Donation coverage of monthly cost %,14.49,SYNTHETIC
R093,2026-08,cost_per_participant,Cost per participant $ (monthly),113.02,SYNTHETIC
R094,2026-08,donation_coverage_pct,Donation coverage of monthly cost %,13.92,SYNTHETIC
R095,2026-09,cost_per_participant,Cost per participant $ (monthly),105.03,SYNTHETIC
R096,2026-09,donation_coverage_pct,Donation coverage of monthly cost %,14.96,SYNTHETIC
