row_id,estimate_id,model,target,estimate,unit,management_comparison,basis,caveat,value_class
R031,ML-031,3 Grant Renewal Probability,Youth program operating grant (SYNTHETIC Funder A),0.826,probability,management estimate 70% (ASSUMPTION),"logistic regression on 60 grant-year observations (years funded, on-time reporting, funder type); assumed features: 3 years funded, reporting on time",Trained on SYNTHETIC history; the deterministic engine keeps using the management estimate,MODEL ESTIMATE
R032,ML-032,3 Grant Renewal Probability,Senior services grant (SYNTHETIC Funder B),0.897,probability,management estimate 70% (ASSUMPTION),"logistic regression on 60 grant-year observations (years funded, on-time reporting, funder type); assumed features: 3 years funded, reporting on time",Trained on SYNTHETIC history; the deterministic engine keeps using the management estimate,MODEL ESTIMATE
R033,ML-033,3 Grant Renewal Probability,Family services grant (SYNTHETIC Funder C),0.897,probability,management estimate 65% (ASSUMPTION),"logistic regression on 60 grant-year observations (years funded, on-time reporting, funder type); assumed features: 3 years funded, reporting on time",Trained on SYNTHETIC history; the deterministic engine keeps using the management estimate,MODEL ESTIMATE
R034,ML-034,3 Grant Renewal Probability,Early childhood quality grant (SYNTHETIC Funder D),0.826,probability,management estimate 80% (ASSUMPTION),"logistic regression on 60 grant-year observations (years funded, on-time reporting, funder type); assumed features: 3 years funded, reporting on time",Trained on SYNTHETIC history; the deterministic engine keeps using the management estimate,MODEL ESTIMATE
R035,ML-035,3 Grant Renewal Probability,Cultural arts grant (SYNTHETIC Funder E),0.826,probability,management estimate 65% (ASSUMPTION),"logistic regression on 60 grant-year observations (years funded, on-time reporting, funder type); assumed features: 3 years funded, reporting on time",Trained on SYNTHETIC history; the deterministic engine keeps using the management estimate,MODEL ESTIMATE
R036,ML-036,9 Donor Retention,2026 donor retention rate,0.688,rate,latest cohort actual 0.708,linear trend on 4 yearly cohorts (drifting -1.7pts/yr),A retention program would break this trend - that is the point of seeing it,MODEL ESTIMATE
R037,ML-037,10 Pledge Collection,"SYNTHETIC Donor A ($500,000, SIGNED)",0.795,probability,management estimate 95% (ASSUMPTION),"logistic regression on 80 historical installments (signed vs verbal, gift size)",Installment-level model; timing model is Phase 2,MODEL ESTIMATE
R038,ML-038,10 Pledge Collection,"SYNTHETIC Donor B ($350,000, SIGNED)",0.795,probability,management estimate 90% (ASSUMPTION),"logistic regression on 80 historical installments (signed vs verbal, gift size)",Installment-level model; timing model is Phase 2,MODEL ESTIMATE
R039,ML-039,10 Pledge Collection,"SYNTHETIC Donor C ($200,000, SIGNED)",0.795,probability,management estimate 85% (ASSUMPTION),"logistic regression on 80 historical installments (signed vs verbal, gift size)",Installment-level model; timing model is Phase 2,MODEL ESTIMATE
R040,ML-040,10 Pledge Collection,"SYNTHETIC Donor D ($150,000, VERBAL)",0.306,probability,management estimate 60% (ASSUMPTION),"logistic regression on 80 historical installments (signed vs verbal, gift size)",Installment-level model; timing model is Phase 2,MODEL ESTIMATE
R041,ML-041,6 Risk Scoring,Donor concentration / donation shortfall months,0.062,frequency of adverse months,management likelihood 3/5,share of months where donations ran below 85% of trend+seasonality,Only donation risk is instrumented so far; other risks keep management scores,MODEL ESTIMATE
