row_id,item_id,ticker,company,year_label,return_pct,basis,source,url,date_verified,confidence,note,value_class
R011,RR-11,PLD,Prologis,2017,25.94,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R012,RR-12,PLD,Prologis,2018,-6.25,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R013,RR-13,PLD,Prologis,2019,55.86,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R014,RR-14,PLD,Prologis,2020,14.74,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R015,RR-15,PLD,Prologis,2021,72.33,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R016,RR-16,PLD,Prologis,2022,-31.33,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R017,RR-17,PLD,Prologis,2023,21.58,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R018,RR-18,PLD,Prologis,2024,-18.12,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R019,RR-19,PLD,Prologis,2025,8.2,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R020,RR-20,PLD,Prologis,2026 YTD,7.9,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily",PUBLIC_RESEARCH
R021,RR-21,EQIX,Equinix,2017,,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,RESEARCH REQUIRED - no verifiable source reachable from the build environment,PUBLIC_RESEARCH
R022,RR-22,EQIX,Equinix,2018,-20.41,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R023,RR-23,EQIX,Equinix,2019,68.86,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R024,RR-24,EQIX,Equinix,2020,24.22,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R025,RR-25,EQIX,Equinix,2021,20.28,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R026,RR-26,EQIX,Equinix,2022,-21.13,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R027,RR-27,EQIX,Equinix,2023,25.41,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R028,RR-28,EQIX,Equinix,2024,19.45,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R029,RR-29,EQIX,Equinix,2025,-16.88,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R030,RR-30,EQIX,Equinix,2026 YTD,38.19,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily",PUBLIC_RESEARCH
R031,RR-31,AMT,American Tower,2017,37.71,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R032,RR-32,AMT,American Tower,2018,13.32,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R033,RR-33,AMT,American Tower,2019,47.87,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R034,RR-34,AMT,American Tower,2020,-0.48,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R035,RR-35,AMT,American Tower,2021,32.89,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R036,RR-36,AMT,American Tower,2022,-25.67,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R037,RR-37,AMT,American Tower,2023,5.37,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R038,RR-38,AMT,American Tower,2024,-12.16,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R039,RR-39,AMT,American Tower,2025,-0.91,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R040,RR-40,AMT,American Tower,2026 YTD,0.48,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily",PUBLIC_RESEARCH
R041,RR-41,DLR,Digital Realty,2017,,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,RESEARCH REQUIRED - no verifiable source reachable from the build environment (one search result's figure contradicted the owner's chart and was rejected),PUBLIC_RESEARCH
R042,RR-42,DLR,Digital Realty,2018,-3.0,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R043,RR-43,DLR,Digital Realty,2019,16.52,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R044,RR-44,DLR,Digital Realty,2020,20.37,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R045,RR-45,DLR,Digital Realty,2021,30.66,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R046,RR-46,DLR,Digital Realty,2022,-41.0,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R047,RR-47,DLR,Digital Realty,2023,39.95,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R048,RR-48,DLR,Digital Realty,2024,35.9,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R049,RR-49,DLR,Digital Realty,2025,-10.07,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R050,RR-50,DLR,Digital Realty,2026 YTD,23.86,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily",PUBLIC_RESEARCH
