row_id,series_id,series,category,month,history_value,estimate_value,kind,value_class
R064,participants:P2,Youth & Teen Programs participants,participants,2023-01,353.78,,HISTORY (SYNTHETIC),SYNTHETIC
R065,participants:P2,Youth & Teen Programs participants,participants,2023-02,347.17,,HISTORY (SYNTHETIC),SYNTHETIC
R066,participants:P2,Youth & Teen Programs participants,participants,2023-03,346.7,,HISTORY (SYNTHETIC),SYNTHETIC
R067,participants:P2,Youth & Teen Programs participants,participants,2023-04,326.99,,HISTORY (SYNTHETIC),SYNTHETIC
R068,participants:P2,Youth & Teen Programs participants,participants,2023-05,334.86,,HISTORY (SYNTHETIC),SYNTHETIC
R069,participants:P2,Youth & Teen Programs participants,participants,2023-06,342.58,,HISTORY (SYNTHETIC),SYNTHETIC
R070,participants:P2,Youth & Teen Programs participants,participants,2023-07,328.3,,HISTORY (SYNTHETIC),SYNTHETIC
R071,participants:P2,Youth & Teen Programs participants,participants,2023-08,350.17,,HISTORY (SYNTHETIC),SYNTHETIC
R072,participants:P2,Youth & Teen Programs participants,participants,2023-09,369.52,,HISTORY (SYNTHETIC),SYNTHETIC
R073,participants:P2,Youth & Teen Programs participants,participants,2023-10,356.15,,HISTORY (SYNTHETIC),SYNTHETIC
R074,participants:P2,Youth & Teen Programs participants,participants,2023-11,358.1,,HISTORY (SYNTHETIC),SYNTHETIC
R075,participants:P2,Youth & Teen Programs participants,participants,2023-12,359.09,,HISTORY (SYNTHETIC),SYNTHETIC
R076,participants:P2,Youth & Teen Programs participants,participants,2024-01,361.88,,HISTORY (SYNTHETIC),SYNTHETIC
R077,participants:P2,Youth & Teen Programs participants,participants,2024-02,334.08,,HISTORY (SYNTHETIC),SYNTHETIC
R078,participants:P2,Youth & Teen Programs participants,participants,2024-03,358.4,,HISTORY (SYNTHETIC),SYNTHETIC
R079,participants:P2,Youth & Teen Programs participants,participants,2024-04,344.01,,HISTORY (SYNTHETIC),SYNTHETIC
R080,participants:P2,Youth & Teen Programs participants,participants,2024-05,346.12,,HISTORY (SYNTHETIC),SYNTHETIC
R081,participants:P2,Youth & Teen Programs participants,participants,2024-06,361.74,,HISTORY (SYNTHETIC),SYNTHETIC
R082,participants:P2,Youth & Teen Programs participants,participants,2024-07,356.88,,HISTORY (SYNTHETIC),SYNTHETIC
R083,participants:P2,Youth & Teen Programs participants,participants,2024-08,367.02,,HISTORY (SYNTHETIC),SYNTHETIC
R084,participants:P2,Youth & Teen Programs participants,participants,2024-09,406.23,,HISTORY (SYNTHETIC),SYNTHETIC
R085,participants:P2,Youth & Teen Programs participants,participants,2024-10,361.96,,HISTORY (SYNTHETIC),SYNTHETIC
R086,participants:P2,Youth & Teen Programs participants,participants,2024-11,355.25,,HISTORY (SYNTHETIC),SYNTHETIC
R087,participants:P2,Youth & Teen Programs participants,participants,2024-12,369.03,,HISTORY (SYNTHETIC),SYNTHETIC
R088,participants:P2,Youth & Teen Programs participants,participants,2025-01,392.35,,HISTORY (SYNTHETIC),SYNTHETIC
R089,participants:P2,Youth & Teen Programs participants,participants,2025-02,390.85,,HISTORY (SYNTHETIC),SYNTHETIC
R090,participants:P2,Youth & Teen Programs participants,participants,2025-03,381.2,,HISTORY (SYNTHETIC),SYNTHETIC
R091,participants:P2,Youth & Teen Programs participants,participants,2025-04,373.68,,HISTORY (SYNTHETIC),SYNTHETIC
R092,participants:P2,Youth & Teen Programs participants,participants,2025-05,368.51,,HISTORY (SYNTHETIC),SYNTHETIC
R093,participants:P2,Youth & Teen Programs participants,participants,2025-06,391.63,,HISTORY (SYNTHETIC),SYNTHETIC
R094,participants:P2,Youth & Teen Programs participants,participants,2025-07,370.16,,HISTORY (SYNTHETIC),SYNTHETIC
R095,participants:P2,Youth & Teen Programs participants,participants,2025-08,364.05,,HISTORY (SYNTHETIC),SYNTHETIC
R096,participants:P2,Youth & Teen Programs participants,participants,2025-09,376.31,,HISTORY (SYNTHETIC),SYNTHETIC
R097,participants:P2,Youth & Teen Programs participants,participants,2025-10,393.65,,HISTORY (SYNTHETIC),SYNTHETIC
R098,participants:P2,Youth & Teen Programs participants,participants,2025-11,383.84,,HISTORY (SYNTHETIC),SYNTHETIC
R099,participants:P2,Youth & Teen Programs participants,participants,2025-12,393.2,,HISTORY (SYNTHETIC),SYNTHETIC
R100,participants:P2,Youth & Teen Programs participants,participants,2026-01,401.77,,HISTORY (SYNTHETIC),SYNTHETIC
R101,participants:P2,Youth & Teen Programs participants,participants,2026-02,376.61,,HISTORY (SYNTHETIC),SYNTHETIC
R102,participants:P2,Youth & Teen Programs participants,participants,2026-03,383.86,,HISTORY (SYNTHETIC),SYNTHETIC
R103,participants:P2,Youth & Teen Programs participants,participants,2026-04,388.47,,HISTORY (SYNTHETIC),SYNTHETIC
R104,participants:P2,Youth & Teen Programs participants,participants,2026-05,379.56,,HISTORY (SYNTHETIC),SYNTHETIC
R105,participants:P2,Youth & Teen Programs participants,participants,2026-06,412.7,,HISTORY (SYNTHETIC),SYNTHETIC
R106,participants:P2,Youth & Teen Programs participants,participants,2026-07,410.48,,HISTORY (SYNTHETIC),SYNTHETIC
R107,participants:P2,Youth & Teen Programs participants,participants,2026-08,429.79,,HISTORY (SYNTHETIC),SYNTHETIC
R108,participants:P2,Youth & Teen Programs participants,participants,2026-09,423.33,,HISTORY (SYNTHETIC),SYNTHETIC
R109,participants:P2,Youth & Teen Programs participants,participants,2026-10,,408.31,MODEL ESTIMATE,MODEL ESTIMATE
R110,participants:P2,Youth & Teen Programs participants,participants,2026-11,,400.76,MODEL ESTIMATE,MODEL ESTIMATE
R111,participants:P2,Youth & Teen Programs participants,participants,2026-12,,407.96,MODEL ESTIMATE,MODEL ESTIMATE
R112,participants:P2,Youth & Teen Programs participants,participants,2027-01,,427.72,MODEL ESTIMATE,MODEL ESTIMATE
R113,participants:P2,Youth & Teen Programs participants,participants,2027-02,,412.45,MODEL ESTIMATE,MODEL ESTIMATE
R114,participants:P2,Youth & Teen Programs participants,participants,2027-03,,417.81,MODEL ESTIMATE,MODEL ESTIMATE
R115,participants:P2,Youth & Teen Programs participants,participants,2027-04,,408.56,MODEL ESTIMATE,MODEL ESTIMATE
R116,participants:P2,Youth & Teen Programs participants,participants,2027-05,,407.53,MODEL ESTIMATE,MODEL ESTIMATE
R117,participants:P2,Youth & Teen Programs participants,participants,2027-06,,427.43,MODEL ESTIMATE,MODEL ESTIMATE
R118,participants:P2,Youth & Teen Programs participants,participants,2027-07,,416.73,MODEL ESTIMATE,MODEL ESTIMATE
R119,participants:P2,Youth & Teen Programs participants,participants,2027-08,,428.03,MODEL ESTIMATE,MODEL ESTIMATE
R120,participants:P2,Youth & Teen Programs participants,participants,2027-09,,444.12,MODEL ESTIMATE,MODEL ESTIMATE
R121,participants:P3,Senior Services participants,participants,2022-10,200.47,,HISTORY (SYNTHETIC),SYNTHETIC
R122,participants:P3,Senior Services participants,participants,2022-11,210.65,,HISTORY (SYNTHETIC),SYNTHETIC
R123,participants:P3,Senior Services participants,participants,2022-12,201.58,,HISTORY (SYNTHETIC),SYNTHETIC
R124,participants:P3,Senior Services participants,participants,2023-01,210.48,,HISTORY (SYNTHETIC),SYNTHETIC
R125,participants:P3,Senior Services participants,participants,2023-02,201.32,,HISTORY (SYNTHETIC),SYNTHETIC
R126,participants:P3,Senior Services participants,participants,2023-03,219.15,,HISTORY (SYNTHETIC),SYNTHETIC
R127,participants:P3,Senior Services participants,participants,2023-04,226.19,,HISTORY (SYNTHETIC),SYNTHETIC
R128,participants:P3,Senior Services participants,participants,2023-05,216.42,,HISTORY (SYNTHETIC),SYNTHETIC
R129,participants:P3,Senior Services participants,participants,2023-06,208.9,,HISTORY (SYNTHETIC),SYNTHETIC
R130,participants:P3,Senior Services participants,participants,2023-07,209.26,,HISTORY (SYNTHETIC),SYNTHETIC
R131,participants:P3,Senior Services participants,participants,2023-08,215.77,,HISTORY (SYNTHETIC),SYNTHETIC
R132,participants:P3,Senior Services participants,participants,2023-09,232.79,,HISTORY (SYNTHETIC),SYNTHETIC
R133,participants:P3,Senior Services participants,participants,2023-10,221.17,,HISTORY (SYNTHETIC),SYNTHETIC
R134,participants:P3,Senior Services participants,participants,2023-11,213.3,,HISTORY (SYNTHETIC),SYNTHETIC
R135,participants:P3,Senior Services participants,participants,2023-12,219.94,,HISTORY (SYNTHETIC),SYNTHETIC
R136,participants:P3,Senior Services participants,participants,2024-01,232.42,,HISTORY (SYNTHETIC),SYNTHETIC
R137,participants:P3,Senior Services participants,participants,2024-02,221.6,,HISTORY (SYNTHETIC),SYNTHETIC
R138,participants:P3,Senior Services participants,participants,2024-03,211.32,,HISTORY (SYNTHETIC),SYNTHETIC
R139,participants:P3,Senior Services participants,participants,2024-04,223.3,,HISTORY (SYNTHETIC),SYNTHETIC
R140,participants:P3,Senior Services participants,participants,2024-05,226.84,,HISTORY (SYNTHETIC),SYNTHETIC
R141,participants:P3,Senior Services participants,participants,2024-06,223.27,,HISTORY (SYNTHETIC),SYNTHETIC
R142,participants:P3,Senior Services participants,participants,2024-07,223.51,,HISTORY (SYNTHETIC),SYNTHETIC
R143,participants:P3,Senior Services participants,participants,2024-08,222.1,,HISTORY (SYNTHETIC),SYNTHETIC
R144,participants:P3,Senior Services participants,participants,2024-09,241.45,,HISTORY (SYNTHETIC),SYNTHETIC
R145,participants:P3,Senior Services participants,participants,2024-10,211.3,,HISTORY (SYNTHETIC),SYNTHETIC
R146,participants:P3,Senior Services participants,participants,2024-11,230.16,,HISTORY (SYNTHETIC),SYNTHETIC
R147,participants:P3,Senior Services participants,participants,2024-12,229.58,,HISTORY (SYNTHETIC),SYNTHETIC
R148,participants:P3,Senior Services participants,participants,2025-01,255.84,,HISTORY (SYNTHETIC),SYNTHETIC
R149,participants:P3,Senior Services participants,participants,2025-02,234.74,,HISTORY (SYNTHETIC),SYNTHETIC
R150,participants:P3,Senior Services participants,participants,2025-03,236.63,,HISTORY (SYNTHETIC),SYNTHETIC
R151,participants:P3,Senior Services participants,participants,2025-04,251.78,,HISTORY (SYNTHETIC),SYNTHETIC
R152,participants:P3,Senior Services participants,participants,2025-05,229.75,,HISTORY (SYNTHETIC),SYNTHETIC
R153,participants:P3,Senior Services participants,participants,2025-06,242.91,,HISTORY (SYNTHETIC),SYNTHETIC
R154,participants:P3,Senior Services participants,participants,2025-07,227.73,,HISTORY (SYNTHETIC),SYNTHETIC
R155,participants:P3,Senior Services participants,participants,2025-08,225.62,,HISTORY (SYNTHETIC),SYNTHETIC
R156,participants:P3,Senior Services participants,participants,2025-09,247.1,,HISTORY (SYNTHETIC),SYNTHETIC
R157,participants:P3,Senior Services participants,participants,2025-10,246.37,,HISTORY (SYNTHETIC),SYNTHETIC
R158,participants:P3,Senior Services participants,participants,2025-11,224.04,,HISTORY (SYNTHETIC),SYNTHETIC
R159,participants:P3,Senior Services participants,participants,2025-12,250.75,,HISTORY (SYNTHETIC),SYNTHETIC
R160,participants:P3,Senior Services participants,participants,2026-01,245.74,,HISTORY (SYNTHETIC),SYNTHETIC
R161,participants:P3,Senior Services participants,participants,2026-02,242.62,,HISTORY (SYNTHETIC),SYNTHETIC
R162,participants:P3,Senior Services participants,participants,2026-03,249.42,,HISTORY (SYNTHETIC),SYNTHETIC
R163,participants:P3,Senior Services participants,participants,2026-04,262.54,,HISTORY (SYNTHETIC),SYNTHETIC
R164,participants:P3,Senior Services participants,participants,2026-05,243.99,,HISTORY (SYNTHETIC),SYNTHETIC
R165,participants:P3,Senior Services participants,participants,2026-06,237.82,,HISTORY (SYNTHETIC),SYNTHETIC
R166,participants:P3,Senior Services participants,participants,2026-07,252.66,,HISTORY (SYNTHETIC),SYNTHETIC
R167,participants:P3,Senior Services participants,participants,2026-08,246.88,,HISTORY (SYNTHETIC),SYNTHETIC
R168,participants:P3,Senior Services participants,participants,2026-09,275.7,,HISTORY (SYNTHETIC),SYNTHETIC
R169,participants:P3,Senior Services participants,participants,2026-10,,249.4,MODEL ESTIMATE,MODEL ESTIMATE
R170,participants:P3,Senior Services participants,participants,2026-11,,249.11,MODEL ESTIMATE,MODEL ESTIMATE
R171,participants:P3,Senior Services participants,participants,2026-12,,255.04,MODEL ESTIMATE,MODEL ESTIMATE
R172,participants:P3,Senior Services participants,participants,2027-01,,265.69,MODEL ESTIMATE,MODEL ESTIMATE
R173,participants:P3,Senior Services participants,participants,2027-02,,254.64,MODEL ESTIMATE,MODEL ESTIMATE
R174,participants:P3,Senior Services participants,participants,2027-03,,258.7,MODEL ESTIMATE,MODEL ESTIMATE
R175,participants:P3,Senior Services participants,participants,2027-04,,270.53,MODEL ESTIMATE,MODEL ESTIMATE
R176,participants:P3,Senior Services participants,participants,2027-05,,258.82,MODEL ESTIMATE,MODEL ESTIMATE
R177,participants:P3,Senior Services participants,participants,2027-06,,257.8,MODEL ESTIMATE,MODEL ESTIMATE
R178,participants:P3,Senior Services participants,participants,2027-07,,257.86,MODEL ESTIMATE,MODEL ESTIMATE
R179,participants:P3,Senior Services participants,participants,2027-08,,257.17,MODEL ESTIMATE,MODEL ESTIMATE
R180,participants:P3,Senior Services participants,participants,2027-09,,278.83,MODEL ESTIMATE,MODEL ESTIMATE
R181,participants:P4,Fitness & Wellness participants,participants,2022-10,714.95,,HISTORY (SYNTHETIC),SYNTHETIC
R182,participants:P4,Fitness & Wellness participants,participants,2022-11,734.95,,HISTORY (SYNTHETIC),SYNTHETIC
R183,participants:P4,Fitness & Wellness participants,participants,2022-12,735.98,,HISTORY (SYNTHETIC),SYNTHETIC
R184,participants:P4,Fitness & Wellness participants,participants,2023-01,820.69,,HISTORY (SYNTHETIC),SYNTHETIC
R185,participants:P4,Fitness & Wellness participants,participants,2023-02,752.28,,HISTORY (SYNTHETIC),SYNTHETIC
R186,participants:P4,Fitness & Wellness participants,participants,2023-03,741.72,,HISTORY (SYNTHETIC),SYNTHETIC
R187,participants:P4,Fitness & Wellness participants,participants,2023-04,781.55,,HISTORY (SYNTHETIC),SYNTHETIC
R188,participants:P4,Fitness & Wellness participants,participants,2023-05,793.02,,HISTORY (SYNTHETIC),SYNTHETIC
R189,participants:P4,Fitness & Wellness participants,participants,2023-06,775.11,,HISTORY (SYNTHETIC),SYNTHETIC
R190,participants:P4,Fitness & Wellness participants,participants,2023-07,747.02,,HISTORY (SYNTHETIC),SYNTHETIC
R191,participants:P4,Fitness & Wellness participants,participants,2023-08,726.22,,HISTORY (SYNTHETIC),SYNTHETIC
R192,participants:P4,Fitness & Wellness participants,participants,2023-09,829.72,,HISTORY (SYNTHETIC),SYNTHETIC
R193,participants:P4,Fitness & Wellness participants,participants,2023-10,787.59,,HISTORY (SYNTHETIC),SYNTHETIC
R194,participants:P4,Fitness & Wellness participants,participants,2023-11,824.96,,HISTORY (SYNTHETIC),SYNTHETIC
R195,participants:P4,Fitness & Wellness participants,participants,2023-12,779.87,,HISTORY (SYNTHETIC),SYNTHETIC
R196,participants:P4,Fitness & Wellness participants,participants,2024-01,815.32,,HISTORY (SYNTHETIC),SYNTHETIC
R197,participants:P4,Fitness & Wellness participants,participants,2024-02,790.0,,HISTORY (SYNTHETIC),SYNTHETIC
R198,participants:P4,Fitness & Wellness participants,participants,2024-03,788.49,,HISTORY (SYNTHETIC),SYNTHETIC
R199,participants:P4,Fitness & Wellness participants,participants,2024-04,791.9,,HISTORY (SYNTHETIC),SYNTHETIC
R200,participants:P4,Fitness & Wellness participants,participants,2024-05,779.3,,HISTORY (SYNTHETIC),SYNTHETIC
R201,participants:P4,Fitness & Wellness participants,participants,2024-06,842.53,,HISTORY (SYNTHETIC),SYNTHETIC
R202,participants:P4,Fitness & Wellness participants,participants,2024-07,827.37,,HISTORY (SYNTHETIC),SYNTHETIC
R203,participants:P4,Fitness & Wellness participants,participants,2024-08,828.81,,HISTORY (SYNTHETIC),SYNTHETIC
R204,participants:P4,Fitness & Wellness participants,participants,2024-09,827.62,,HISTORY (SYNTHETIC),SYNTHETIC
R205,participants:P4,Fitness & Wellness participants,participants,2024-10,803.47,,HISTORY (SYNTHETIC),SYNTHETIC
R206,participants:P4,Fitness & Wellness participants,participants,2024-11,826.92,,HISTORY (SYNTHETIC),SYNTHETIC
R207,participants:P4,Fitness & Wellness participants,participants,2024-12,842.82,,HISTORY (SYNTHETIC),SYNTHETIC
R208,participants:P4,Fitness & Wellness participants,participants,2025-01,911.02,,HISTORY (SYNTHETIC),SYNTHETIC
R209,participants:P4,Fitness & Wellness participants,participants,2025-02,849.17,,HISTORY (SYNTHETIC),SYNTHETIC
R210,participants:P4,Fitness & Wellness participants,participants,2025-03,795.0,,HISTORY (SYNTHETIC),SYNTHETIC
R211,participants:P4,Fitness & Wellness participants,participants,2025-04,847.75,,HISTORY (SYNTHETIC),SYNTHETIC
R212,participants:P4,Fitness & Wellness participants,participants,2025-05,812.83,,HISTORY (SYNTHETIC),SYNTHETIC
R213,participants:P4,Fitness & Wellness participants,participants,2025-06,830.73,,HISTORY (SYNTHETIC),SYNTHETIC
R214,participants:P4,Fitness & Wellness participants,participants,2025-07,834.32,,HISTORY (SYNTHETIC),SYNTHETIC
R215,participants:P4,Fitness & Wellness participants,participants,2025-08,886.34,,HISTORY (SYNTHETIC),SYNTHETIC
R216,participants:P4,Fitness & Wellness participants,participants,2025-09,890.04,,HISTORY (SYNTHETIC),SYNTHETIC
R217,participants:P4,Fitness & Wellness participants,participants,2025-10,848.95,,HISTORY (SYNTHETIC),SYNTHETIC
R218,participants:P4,Fitness & Wellness participants,participants,2025-11,869.75,,HISTORY (SYNTHETIC),SYNTHETIC
R219,participants:P4,Fitness & Wellness participants,participants,2025-12,887.51,,HISTORY (SYNTHETIC),SYNTHETIC
R220,participants:P4,Fitness & Wellness participants,participants,2026-01,915.29,,HISTORY (SYNTHETIC),SYNTHETIC
R221,participants:P4,Fitness & Wellness participants,participants,2026-02,839.27,,HISTORY (SYNTHETIC),SYNTHETIC
R222,participants:P4,Fitness & Wellness participants,participants,2026-03,892.37,,HISTORY (SYNTHETIC),SYNTHETIC
R223,participants:P4,Fitness & Wellness participants,participants,2026-04,882.31,,HISTORY (SYNTHETIC),SYNTHETIC
R224,participants:P4,Fitness & Wellness participants,participants,2026-05,882.54,,HISTORY (SYNTHETIC),SYNTHETIC
R225,participants:P4,Fitness & Wellness participants,participants,2026-06,914.45,,HISTORY (SYNTHETIC),SYNTHETIC
R226,participants:P4,Fitness & Wellness participants,participants,2026-07,860.0,,HISTORY (SYNTHETIC),SYNTHETIC
R227,participants:P4,Fitness & Wellness participants,participants,2026-08,889.16,,HISTORY (SYNTHETIC),SYNTHETIC
R228,participants:P4,Fitness & Wellness participants,participants,2026-09,974.93,,HISTORY (SYNTHETIC),SYNTHETIC
R229,participants:P4,Fitness & Wellness participants,participants,2026-10,,892.0,MODEL ESTIMATE,MODEL ESTIMATE
R230,participants:P4,Fitness & Wellness participants,participants,2026-11,,917.41,MODEL ESTIMATE,MODEL ESTIMATE
R231,participants:P4,Fitness & Wellness participants,participants,2026-12,,914.81,MODEL ESTIMATE,MODEL ESTIMATE
R232,participants:P4,Fitness & Wellness participants,participants,2027-01,,968.84,MODEL ESTIMATE,MODEL ESTIMATE
R233,participants:P4,Fitness & Wellness participants,participants,2027-02,,910.94,MODEL ESTIMATE,MODEL ESTIMATE
R234,participants:P4,Fitness & Wellness participants,participants,2027-03,,907.66,MODEL ESTIMATE,MODEL ESTIMATE
R235,participants:P4,Fitness & Wellness participants,participants,2027-04,,929.14,MODEL ESTIMATE,MODEL ESTIMATE
R236,participants:P4,Fitness & Wellness participants,participants,2027-05,,920.19,MODEL ESTIMATE,MODEL ESTIMATE
R237,participants:P4,Fitness & Wellness participants,participants,2027-06,,943.97,MODEL ESTIMATE,MODEL ESTIMATE
R238,participants:P4,Fitness & Wellness participants,participants,2027-07,,920.44,MODEL ESTIMATE,MODEL ESTIMATE
R239,participants:P4,Fitness & Wellness participants,participants,2027-08,,935.9,MODEL ESTIMATE,MODEL ESTIMATE
R240,participants:P4,Fitness & Wellness participants,participants,2027-09,,983.84,MODEL ESTIMATE,MODEL ESTIMATE
R241,participants:P5,Cultural Arts participants,participants,2022-10,248.8,,HISTORY (SYNTHETIC),SYNTHETIC
R242,participants:P5,Cultural Arts participants,participants,2022-11,243.36,,HISTORY (SYNTHETIC),SYNTHETIC
R243,participants:P5,Cultural Arts participants,participants,2022-12,239.34,,HISTORY (SYNTHETIC),SYNTHETIC
R244,participants:P5,Cultural Arts participants,participants,2023-01,263.61,,HISTORY (SYNTHETIC),SYNTHETIC
