row_id,ratio_id,ratio_kind,ratio,fiscal_year,value,unit,formula_990,basis,confidence,value_class,note,target_value,target_direction,target_label,target_class,vs_target,verdict_detail
R023,R990-op_margin_pct-FY2022,op_margin_pct,Operating margin % (FY2022),FY2022,28.1291,%,(Part I line 12 - line 18) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Negative = the year spent more than it raised,0.0,>=,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,MEETS,MEETS by 28.13 (28.13 vs 0.00)
R024,R990-expense_coverage-FY2022,expense_coverage,Expense coverage (FY2022),FY2022,1.3914,x,Part I line 12 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,>= 1.0 means revenue covered the year's expenses,1.0,>=,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,MEETS,MEETS by 0.39 (1.39 vs 1.00)
R025,R990-program_reliance_pct-FY2022,program_reliance_pct,Program revenue reliance % (FY2022),FY2022,40.9328,%,Part I line 9 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Earned-revenue share - the JCC operating model,,,,,,
R026,R990-contrib_reliance_pct-FY2022,contrib_reliance_pct,Contributions reliance % (FY2022),FY2022,55.4202,%,Part I line 8 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Donated share of revenue,,,,,,
R027,R990-invest_other_pct-FY2022,invest_other_pct,Investment + other revenue % (FY2022),FY2022,3.647,%,(Part I line 10 + line 11) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Portfolio and misc income share,,,,,,
R028,R990-salaries_pct_exp-FY2022,salaries_pct_exp,Salaries % of expenses (FY2022),FY2022,56.6876,%,Part I line 15 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,People-cost share of spending,60.0,<=,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,MEETS,MEETS by 3.31 (56.69 vs 60.00)
R029,R990-grants_pct_exp-FY2022,grants_pct_exp,Grants paid % of expenses (FY2022),FY2022,13.5478,%,Part I line 13 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Regranting share of spending,,,,,,
R030,R990-fundraise_cents_per_dollar-FY2022,fundraise_cents_per_dollar,Fundraising cost per $ raised (FY2022),FY2022,4.5268,cents,Part I line 16b / line 8 x 100,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Cents spent on fundraising per contribution dollar,35.0,<=,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,MEETS,MEETS by 30.47 (4.53 vs 35.00)
R031,R990-net_asset_ratio_pct-FY2022,net_asset_ratio_pct,Net asset ratio % (FY2022),FY2022,87.4301,%,Part X line 16 net of line 26,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of the balance sheet owned free of liabilities,,,,,,
R032,R990-months_cash_on_hand-FY2022,months_cash_on_hand,Months of cash on hand (FY2022),FY2022,6.0986,months,(Part X line 1 + line 2) / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Pure cash liquidity vs the internal 3.0-month policy; excludes the investment portfolio,3.0,>=,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,MEETS,MEETS by 3.10 (6.10 vs 3.00)
R033,R990-program_expense_ratio_pct-FY2022,program_expense_ratio_pct,Program expense ratio % (FY2022),FY2022,76.2517,%,Part IX line 25 col B / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending on programs - the sector's headline accountability ratio,65.0,>=,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,MEETS,MEETS by 11.25 (76.25 vs 65.00)
R034,R990-overhead_ratio_pct-FY2022,overhead_ratio_pct,Overhead ratio % (FY2022),FY2022,23.7483,%,Part IX line 25 (col C + col D) / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management + fundraising share of spending,35.0,<=,BENCHMARK: <= 35% overhead (complement of the BBB 65% program standard),PUBLIC_RESEARCH,MEETS,MEETS by 11.25 (23.75 vs 35.00)
R035,R990-operating_reserve_months-FY2022,operating_reserve_months,Operating reserve months (FY2022),FY2022,7.4494,months,Part X line 27 / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,"Unrestricted net assets vs a month of spending - line 27 includes board-designated funds and net fixed assets, so this OVERSTATES spendable reserves",3.0,>=,SECTOR: 3-6 months reserves; target 6+ when slow-paying reimbursement grants dominate,PUBLIC_RESEARCH,MEETS,MEETS by 4.45 (7.45 vs 3.00)
R036,R990-revenue_concentration_pct-FY2022,revenue_concentration_pct,Revenue concentration % (FY2022),FY2022,55.4202,%,largest single revenue stream / Part I line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Largest stream: contributions - earned fees from many payers carry different risk than one grantor or major donor,40.0,<=,SECTOR: keep any single revenue stream under 30-40% of total,PUBLIC_RESEARCH,MISSES,MISSES by 15.42 (55.42 vs 40.00)
R037,R990-current_ratio-FY2022,current_ratio,Current ratio (FY2022),FY2022,4.2208,x,Part X (lines 1+2+3+4+9) / (lines 17+18+19),DERIVED (990 PROXY),HIGH,PUBLIC_RESEARCH,990 PROXY - the form does not classify current vs long-term; numerator and denominator are the plainly short-term lines,1.0,>=,SECTOR: current ratio 1.0-2.0 (near-term bills covered),PUBLIC_RESEARCH,MEETS,MEETS by 3.22 (4.22 vs 1.00)
R038,R990-days_cash_on_hand-FY2022,days_cash_on_hand,Days cash on hand (FY2022),FY2022,185.5006,days,(Part X line 1 + line 2) / (Part I line 18 / 365),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Day-count view of the months-of-cash ratio,90.0,>=,SECTOR: ~3 months of cash (90 days),PUBLIC_RESEARCH,MEETS,MEETS by 95.50 (185.50 vs 90.00)
R039,R990-mgmt_general_pct_exp-FY2022,mgmt_general_pct_exp,Admin (M&G) % of expenses (FY2022),FY2022,20.2576,%,Part IX line 25 col C / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management & general only - excludes fundraising,20.0,<=,OWNER RULE: management & general < 20% of total expenses,PUBLIC_RESEARCH,MISSES,MISSES by 0.26 (20.26 vs 20.00)
R040,R990-fundraise_dollars_per_dollar-FY2022,fundraise_dollars_per_dollar,Dollars raised per $1 of fundraising (FY2022),FY2022,22.0906,$ per $,Part I line 8 / line 16b,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Inverse of the cents-per-dollar view,5.0,>=,SECTOR: raise $5 or more per $1 spent on fundraising,PUBLIC_RESEARCH,MEETS,MEETS by 17.09 (22.09 vs 5.00)
R041,R990-public_support_pct-FY2022,public_support_pct,IRS public support % (FY2022),FY2022,74.24,%,Schedule A Part II line 14 (as filed),FILED (SCHEDULE A),HIGH,PUBLIC_RESEARCH,"5-year cumulative IRS test, filed by the preparer - not recomputed here",33.33,>=,IRS RULE: >= 33 1/3% public support (Schedule A test),PUBLIC_RESEARCH,MEETS,MEETS by 40.91 (74.24 vs 33.33)
R042,R990-leverage_ratio-FY2022,leverage_ratio,Leverage ratio (FY2022),FY2022,0.1438,x,Part X line 26 / Part I line 22,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Total liabilities vs net assets - lower means less reliance on debt; no published sector standard,,,,,,
R043,R990-savings_indicator_pct-FY2022,savings_indicator_pct,Savings indicator % (FY2022),FY2022,39.1383,%,(line 12 - line 18) / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending the year added to (or drew from) net assets,,,,,,
R044,R990-roa_pct-FY2022,roa_pct,Return on assets % (FY2022),FY2022,21.2476,%,(line 12 - line 18) / Part X line 16,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Surplus generated per dollar of balance sheet,,,,,,
R045,R990-op_margin_pct-FY2023,op_margin_pct,Operating margin % (FY2023),FY2023,-10.7885,%,(Part I line 12 - line 18) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Negative = the year spent more than it raised,0.0,>=,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,MISSES,MISSES by 10.79 (-10.79 vs 0.00)
R046,R990-expense_coverage-FY2023,expense_coverage,Expense coverage (FY2023),FY2023,0.9026,x,Part I line 12 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,>= 1.0 means revenue covered the year's expenses,1.0,>=,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,MISSES,MISSES by 0.10 (0.90 vs 1.00)
R047,R990-program_reliance_pct-FY2023,program_reliance_pct,Program revenue reliance % (FY2023),FY2023,66.0025,%,Part I line 9 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Earned-revenue share - the JCC operating model,,,,,,
R048,R990-contrib_reliance_pct-FY2023,contrib_reliance_pct,Contributions reliance % (FY2023),FY2023,30.4598,%,Part I line 8 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Donated share of revenue,,,,,,
R049,R990-invest_other_pct-FY2023,invest_other_pct,Investment + other revenue % (FY2023),FY2023,3.5377,%,(Part I line 10 + line 11) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Portfolio and misc income share,,,,,,
R050,R990-salaries_pct_exp-FY2023,salaries_pct_exp,Salaries % of expenses (FY2023),FY2023,55.041,%,Part I line 15 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,People-cost share of spending,60.0,<=,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,MEETS,MEETS by 4.96 (55.04 vs 60.00)
R051,R990-grants_pct_exp-FY2023,grants_pct_exp,Grants paid % of expenses (FY2023),FY2023,12.2611,%,Part I line 13 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Regranting share of spending,,,,,,
R052,R990-fundraise_cents_per_dollar-FY2023,fundraise_cents_per_dollar,Fundraising cost per $ raised (FY2023),FY2023,15.5686,cents,Part I line 16b / line 8 x 100,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Cents spent on fundraising per contribution dollar,35.0,<=,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,MEETS,MEETS by 19.43 (15.57 vs 35.00)
R053,R990-net_asset_ratio_pct-FY2023,net_asset_ratio_pct,Net asset ratio % (FY2023),FY2023,86.6777,%,Part X line 16 net of line 26,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of the balance sheet owned free of liabilities,,,,,,
R054,R990-months_cash_on_hand-FY2023,months_cash_on_hand,Months of cash on hand (FY2023),FY2023,3.5945,months,(Part X line 1 + line 2) / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Pure cash liquidity vs the internal 3.0-month policy; excludes the investment portfolio,3.0,>=,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,MEETS,MEETS by 0.59 (3.59 vs 3.00)
R055,R990-program_expense_ratio_pct-FY2023,program_expense_ratio_pct,Program expense ratio % (FY2023),FY2023,83.3364,%,Part IX line 25 col B / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending on programs - the sector's headline accountability ratio,65.0,>=,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,MEETS,MEETS by 18.34 (83.34 vs 65.00)
R056,R990-overhead_ratio_pct-FY2023,overhead_ratio_pct,Overhead ratio % (FY2023),FY2023,16.6636,%,Part IX line 25 (col C + col D) / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management + fundraising share of spending,35.0,<=,BENCHMARK: <= 35% overhead (complement of the BBB 65% program standard),PUBLIC_RESEARCH,MEETS,MEETS by 18.34 (16.66 vs 35.00)
R057,R990-operating_reserve_months-FY2023,operating_reserve_months,Operating reserve months (FY2023),FY2023,6.9746,months,Part X line 27 / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,"Unrestricted net assets vs a month of spending - line 27 includes board-designated funds and net fixed assets, so this OVERSTATES spendable reserves",3.0,>=,SECTOR: 3-6 months reserves; target 6+ when slow-paying reimbursement grants dominate,PUBLIC_RESEARCH,MEETS,MEETS by 3.97 (6.97 vs 3.00)
R058,R990-revenue_concentration_pct-FY2023,revenue_concentration_pct,Revenue concentration % (FY2023),FY2023,66.0025,%,largest single revenue stream / Part I line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Largest stream: program service revenue - earned fees from many payers carry different risk than one grantor or major donor,40.0,<=,SECTOR: keep any single revenue stream under 30-40% of total,PUBLIC_RESEARCH,MISSES,MISSES by 26.00 (66.00 vs 40.00)
R059,R990-current_ratio-FY2023,current_ratio,Current ratio (FY2023),FY2023,2.3198,x,Part X (lines 1+2+3+4+9) / (lines 17+18+19),DERIVED (990 PROXY),HIGH,PUBLIC_RESEARCH,990 PROXY - the form does not classify current vs long-term; numerator and denominator are the plainly short-term lines,1.0,>=,SECTOR: current ratio 1.0-2.0 (near-term bills covered),PUBLIC_RESEARCH,MEETS,MEETS by 1.32 (2.32 vs 1.00)
R060,R990-days_cash_on_hand-FY2023,days_cash_on_hand,Days cash on hand (FY2023),FY2023,109.3341,days,(Part X line 1 + line 2) / (Part I line 18 / 365),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Day-count view of the months-of-cash ratio,90.0,>=,SECTOR: ~3 months of cash (90 days),PUBLIC_RESEARCH,MEETS,MEETS by 19.33 (109.33 vs 90.00)
R061,R990-mgmt_general_pct_exp-FY2023,mgmt_general_pct_exp,Admin (M&G) % of expenses (FY2023),FY2023,12.3832,%,Part IX line 25 col C / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management & general only - excludes fundraising,20.0,<=,OWNER RULE: management & general < 20% of total expenses,PUBLIC_RESEARCH,MEETS,MEETS by 7.62 (12.38 vs 20.00)
R062,R990-fundraise_dollars_per_dollar-FY2023,fundraise_dollars_per_dollar,Dollars raised per $1 of fundraising (FY2023),FY2023,6.4232,$ per $,Part I line 8 / line 16b,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Inverse of the cents-per-dollar view,5.0,>=,SECTOR: raise $5 or more per $1 spent on fundraising,PUBLIC_RESEARCH,MEETS,MEETS by 1.42 (6.42 vs 5.00)
R063,R990-public_support_pct-FY2023,public_support_pct,IRS public support % (FY2023),FY2023,76.5,%,Schedule A Part II line 14 (as filed),FILED (SCHEDULE A),HIGH,PUBLIC_RESEARCH,"5-year cumulative IRS test, filed by the preparer - not recomputed here",33.33,>=,IRS RULE: >= 33 1/3% public support (Schedule A test),PUBLIC_RESEARCH,MEETS,MEETS by 43.17 (76.50 vs 33.33)
R064,R990-leverage_ratio-FY2023,leverage_ratio,Leverage ratio (FY2023),FY2023,0.1537,x,Part X line 26 / Part I line 22,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Total liabilities vs net assets - lower means less reliance on debt; no published sector standard,,,,,,
R065,R990-savings_indicator_pct-FY2023,savings_indicator_pct,Savings indicator % (FY2023),FY2023,-9.738,%,(line 12 - line 18) / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending the year added to (or drew from) net assets,,,,,,
R066,R990-roa_pct-FY2023,roa_pct,Return on assets % (FY2023),FY2023,-5.5643,%,(line 12 - line 18) / Part X line 16,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Surplus generated per dollar of balance sheet,,,,,,
R067,R990-op_margin_pct-FY2024,op_margin_pct,Operating margin % (FY2024),FY2024,0.5527,%,(Part I line 12 - line 18) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Negative = the year spent more than it raised,0.0,>=,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,MEETS,MEETS by 0.55 (0.55 vs 0.00)
R068,R990-expense_coverage-FY2024,expense_coverage,Expense coverage (FY2024),FY2024,1.0056,x,Part I line 12 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,>= 1.0 means revenue covered the year's expenses,1.0,>=,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,MEETS,MEETS by 0.01 (1.01 vs 1.00)
R069,R990-program_reliance_pct-FY2024,program_reliance_pct,Program revenue reliance % (FY2024),FY2024,61.492,%,Part I line 9 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Earned-revenue share - the JCC operating model,,,,,,
R070,R990-contrib_reliance_pct-FY2024,contrib_reliance_pct,Contributions reliance % (FY2024),FY2024,33.5761,%,Part I line 8 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Donated share of revenue,,,,,,
R071,R990-invest_other_pct-FY2024,invest_other_pct,Investment + other revenue % (FY2024),FY2024,4.932,%,(Part I line 10 + line 11) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Portfolio and misc income share,,,,,,
R072,R990-salaries_pct_exp-FY2024,salaries_pct_exp,Salaries % of expenses (FY2024),FY2024,55.741,%,Part I line 15 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,People-cost share of spending,60.0,<=,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,MEETS,MEETS by 4.26 (55.74 vs 60.00)
R073,R990-grants_pct_exp-FY2024,grants_pct_exp,Grants paid % of expenses (FY2024),FY2024,12.5036,%,Part I line 13 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Regranting share of spending,,,,,,
R074,R990-fundraise_cents_per_dollar-FY2024,fundraise_cents_per_dollar,Fundraising cost per $ raised (FY2024),FY2024,9.5245,cents,Part I line 16b / line 8 x 100,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Cents spent on fundraising per contribution dollar,35.0,<=,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,MEETS,MEETS by 25.48 (9.52 vs 35.00)
R075,R990-net_asset_ratio_pct-FY2024,net_asset_ratio_pct,Net asset ratio % (FY2024),FY2024,80.7293,%,Part X line 16 net of line 26,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of the balance sheet owned free of liabilities,,,,,,
R076,R990-months_cash_on_hand-FY2024,months_cash_on_hand,Months of cash on hand (FY2024),FY2024,3.0852,months,(Part X line 1 + line 2) / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Pure cash liquidity vs the internal 3.0-month policy; excludes the investment portfolio,3.0,>=,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,MEETS,MEETS by 0.09 (3.09 vs 3.00)
R077,R990-program_expense_ratio_pct-FY2024,program_expense_ratio_pct,Program expense ratio % (FY2024),FY2024,83.9812,%,Part IX line 25 col B / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending on programs - the sector's headline accountability ratio,65.0,>=,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,MEETS,MEETS by 18.98 (83.98 vs 65.00)
