row_id,item_id,ticker,company,period,driver,basis,source,date_verified,confidence,note,value_class
R013,RS-13,EQIX,Equinix,2017-2019,Cloud/data-center expansion,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R014,RS-14,EQIX,Equinix,2020-2021,Digital infrastructure demand,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R015,RS-15,EQIX,Equinix,2022,Rate/valuation shock,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R016,RS-16,EQIX,Equinix,2023-2024,Cloud + AI growth,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R017,RS-17,EQIX,Equinix,2025,Valuation reset,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R018,RS-18,EQIX,Equinix,2026,AI/data-center rebound,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R019,RS-19,AMT,American Tower,2017-2019,Wireless/tower expansion,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R020,RS-20,AMT,American Tower,2020,Telecom resilience,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R021,RS-21,AMT,American Tower,2021,5G optimism,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R022,RS-22,AMT,American Tower,2022,Rate shock,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R023,RS-23,AMT,American Tower,2023-2024,Slower growth + India restructuring,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R024,RS-24,AMT,American Tower,2025-2026,Debt/portfolio reset + CoreSite,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R025,RS-25,DLR,Digital Realty,2017-2019,Data-center growth,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R026,RS-26,DLR,Digital Realty,2020-2021,Cloud acceleration,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R027,RS-27,DLR,Digital Realty,2022,Rate/financing shock,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R028,RS-28,DLR,Digital Realty,2023-2024,AI/hyperscale recovery,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R029,RS-29,DLR,Digital Realty,2025,Stock pullback,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
R030,RS-30,DLR,Digital Realty,2026,AI/hyperscale rebound,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings",PUBLIC_RESEARCH
