flag_id,color,area,headline,detail,recommended_action,source_tab,source_file,value_class
FLAG-011,YELLOW,Controls,REV-009 OUTLIER_FLAG (MEDIUM),"New material activity with no prior period MAY relate to TXN-001 closing in the same period (see event narrative). Causation is not concluded. Restructuring costs from the event are already normalized by ADJ-001A, ADJ-001B.",Confirm the organic vs acquired split of FY growth against the acquisition agreement before using growth rates in the forecast.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-012,YELLOW,Controls,REV-010 OUTLIER_FLAG (MEDIUM),"Cash build is PARTIALLY explained: the entities with a cash-flow statement walk cleanly (C2 PASS), but ENT_GMBH has no CFS on file, so its portion is unverified.",Request the missing cash flow statement(s) for ENT_GMBH — same ask as the open C2 exception.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-013,YELLOW,Liquidity,Current ratio 3.98x above the 3.0x band,"Strong cover, but capital this idle may be earning nothing.",Review whether excess cash should fund options on tab 5.,2 · Current Position,client_fs_statements.csv,MODEL_OUTPUT
FLAG-014,YELLOW,Options,PROJ-001 Distribution center expansion: REVIEW,"REVIEW: the tests disagree - accounting ROIC beats WACC but the cash never repays the hurdle, and cash rules. To review: can early-year flows be raised (price, volume, margin), can the investment be phased or reduced - or reject. Stress it in the sensitivity grid below",Resolve before committing capital.,5 · Options,client_fs_projects.csv,MODEL_OUTPUT
FLAG-015,YELLOW,Options,PROJ-001 is rate-fragile,"Flips to REJECT at discount rates 7%, 9%, 11%, 13% in the sensitivity strip.",Confirm the hurdle rate before approving.,5 · Options,client_fs_option_verdicts.csv,MODEL_OUTPUT
FLAG-016,GREEN,Cash,Free cash flow $156.3M — self-funded,The operation funds its own reinvestment.,None.,2 · Current Position,client_fs_ufcf.csv,MODEL_OUTPUT
FLAG-017,GREEN,Controls,REV-011 OUTLIER_FLAG (MEDIUM),Cash build is fully explained by the cash-flow statement (Control C2 PASS for this entity).,No action needed.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-018,GREEN,Controls,REV-012 OUTLIER_FLAG (HIGH),"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-019,GREEN,Controls,REV-013 OUTLIER_FLAG (HIGH),"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-020,GREEN,Controls,REV-014 OUTLIER_FLAG (HIGH),"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-021,GREEN,Liquidity,Quick ratio 3.03x >= 1.0x target,Bills covered without touching inventory.,None.,2 · Current Position,client_fs_statements.csv,MODEL_OUTPUT
FLAG-022,GREEN,Liquidity,Cash ratio 1.64x vs 0.2x floor,Immediate cover from cash alone.,None.,2 · Current Position,client_fs_statements.csv,MODEL_OUTPUT
FLAG-023,GREEN,Options,PROJ-002 Warehouse automation retrofit: APPROVE,APPROVE: all three tests pass - the option earns more than its money costs on every ruler,Proceed per the recommendation.,5 · Options,client_fs_projects.csv,MODEL_OUTPUT
FLAG-024,GREEN,Options,PROJ-003 New product line launch: APPROVE,APPROVE: all three tests pass - the option earns more than its money costs on every ruler,Proceed per the recommendation.,5 · Options,client_fs_projects.csv,MODEL_OUTPUT
FLAG-025,GREEN,Reinvestment,"D&A 5.2% of revenue, CapEx/D&A 1.06x",Moderate intensity; the asset base is replenished at least as fast as it wears.,None.,2 · Current Position,client_fs_ufcf.csv,MODEL_OUTPUT
FLAG-026,GREEN,Returns,ROIC beats WACC by 14.4pts,ROIC 23.6% vs WACC 9.11% — each invested dollar creates value.,None.,2 · Current Position,finance_scenario_report.csv,MODEL_OUTPUT
FLAG-027,GREEN,Solvency,Debt/equity 0.59x conservative,At or below the 1.0x conservative line.,None.,2 · Current Position,client_fs_statements.csv,MODEL_OUTPUT
FLAG-028,GREEN,Solvency,Interest coverage 9.8x comfortable,EBIT 248.6 covers interest 25.4 well above the 3.0x target.,None.,2 · Current Position,client_fs_statements.csv,MODEL_OUTPUT
FLAG-029,GREEN,Solvency,Net debt/EBITDA 0.55x within the 2.0x policy,Debt headroom $457.6M before the ceiling.,Headroom can fund tab-5 options without breaching policy.,2 · Current Position,finance_scenario_report.csv,MODEL_OUTPUT
