row_id,section,line_label,unit,fy2024,fy2025,variance,variance_pct,math_fy2025,note,value_class
R015,STATEMENT OF FINANCIAL POSITION - ASSETS,"Other assets (land, buildings, receivables - derived)",USD,2536969.0,2509373.0,-27596.0,-1.1,,DERIVED: line 16 minus the lines above,PUBLIC_RESEARCH
R016,STATEMENT OF FINANCIAL POSITION - ASSETS,TOTAL ASSETS,USD,20879276.0,22519188.0,1639912.0,7.9,,Part X line 16,PUBLIC_RESEARCH
R017,STATEMENT OF FINANCIAL POSITION - LIABILITIES,TOTAL LIABILITIES,USD,4023584.0,4803137.0,779553.0,19.4,,Part X line 26,PUBLIC_RESEARCH
R018,STATEMENT OF FINANCIAL POSITION - NET ASSETS,Without donor restrictions,USD,7077549.0,5761112.0,-1316437.0,-18.6,,Part X line 27,PUBLIC_RESEARCH
R019,STATEMENT OF FINANCIAL POSITION - NET ASSETS,With donor restrictions,USD,9778143.0,11954939.0,2176796.0,22.3,,Part X line 28,PUBLIC_RESEARCH
R020,STATEMENT OF FINANCIAL POSITION - NET ASSETS,TOTAL NET ASSETS,USD,16855692.0,17716051.0,860359.0,5.1,,Part X line 32 / Part I line 22,PUBLIC_RESEARCH
R021,RATIOS,Operating margin %,%,0.55,4.71,4.15,,"(14,208,155 - 13,539,303) / 14,208,155",variance shown in the ratio's own units,PUBLIC_RESEARCH
R022,RATIOS,Expense coverage,x,1.01,1.05,0.04,,"14,208,155 / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R023,RATIOS,Program revenue reliance %,%,61.49,59.87,-1.62,,"8,506,012 / 14,208,155",variance shown in the ratio's own units,PUBLIC_RESEARCH
R024,RATIOS,Contributions reliance %,%,33.58,35.66,2.09,,"5,067,036 / 14,208,155",variance shown in the ratio's own units,PUBLIC_RESEARCH
R025,RATIOS,Investment + other revenue %,%,4.93,4.47,-0.46,,"(535,465 + 99,642) / 14,208,155",variance shown in the ratio's own units,PUBLIC_RESEARCH
R026,RATIOS,Salaries % of expenses,%,55.74,58.08,2.34,,"7,863,680 / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R027,RATIOS,Grants paid % of expenses,%,12.5,10.64,-1.87,,"1,440,288 / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R028,RATIOS,Fundraising cost per $ raised,cents,9.52,12.69,3.17,,"643,032 / 5,067,036 x 100",variance shown in the ratio's own units,PUBLIC_RESEARCH
R029,RATIOS,Net asset ratio %,%,80.73,78.67,-2.06,,"17,716,051 / 22,519,188",variance shown in the ratio's own units,PUBLIC_RESEARCH
R030,RATIOS,Months of cash on hand,months,3.09,0.46,-2.63,,"(515,092 + 0) / (13,539,303 / 12)",variance shown in the ratio's own units,PUBLIC_RESEARCH
R031,RATIOS,Program expense ratio %,%,83.98,81.99,-1.99,,"11,100,788 / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R032,RATIOS,Overhead ratio %,%,16.02,18.01,1.99,,"(1,795,483 + 643,032) / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R033,RATIOS,Operating reserve months,months,6.78,5.11,-1.67,,"5,761,112 / (13,539,303 / 12)",variance shown in the ratio's own units,PUBLIC_RESEARCH
R034,RATIOS,Revenue concentration %,%,61.49,59.87,-1.62,,"8,506,012 / 14,208,155 (largest stream: program fees)",variance shown in the ratio's own units,PUBLIC_RESEARCH
R035,RATIOS,Current ratio,x,1.88,0.71,-1.17,,"(515,092 + 0 + 542,806 + 5,513 + 289,681) / (1,182,810 + 0 + 720,632)",variance shown in the ratio's own units,PUBLIC_RESEARCH
R036,RATIOS,Days cash on hand,days,93.84,13.89,-79.96,,"(515,092 + 0) / (13,539,303 / 365)",variance shown in the ratio's own units,PUBLIC_RESEARCH
R037,RATIOS,Admin,%,12.8,13.26,0.46,,"1,795,483 / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R038,RATIOS,Dollars raised per $1 of fundraising,$ per $,10.5,7.88,-2.62,,"5,067,036 / 643,032",variance shown in the ratio's own units,PUBLIC_RESEARCH
R039,RATIOS,IRS public support %,%,73.57,74.89,1.32,,"as filed, Schedule A Part II line 14 - IRS 5-year computation, not recomputed",variance shown in the ratio's own units,PUBLIC_RESEARCH
R040,RATIOS,Leverage ratio,x,0.24,0.27,0.03,,"4,803,137 / 17,716,051",variance shown in the ratio's own units,PUBLIC_RESEARCH
R041,RATIOS,Savings indicator %,%,0.56,4.94,4.38,,"(14,208,155 - 13,539,303) / 13,539,303",variance shown in the ratio's own units,PUBLIC_RESEARCH
R042,RATIOS,Return on assets %,%,0.33,2.97,2.64,,"(14,208,155 - 13,539,303) / 22,519,188",variance shown in the ratio's own units,PUBLIC_RESEARCH
