company_id,period_id,entity_id,control_id,control_name,control_category,expected_value,actual_value,variance_amount,variance_pct,tolerance_amount,tolerance_pct,status,severity,agent_comment,reviewer_comment,review_status,source_reference,value_class
COMP001,FY2024,CONSOLIDATED,C8,Entity totals + eliminations + FX = consolidated,CONSOLIDATION,0.0,0.0,0.0,,0.01,,PASS,LOW,"Largest gap across the union of account keys, compared per bucket (pre-elimination / elimination / FX) and in total, between an independent roll-up of the translated rows and entity_consolidation.csv",,PENDING,entity_consolidation.csv vs translate_statements(),CALCULATED
COMP001,FY2025,CONSOLIDATED,C8,Entity totals + eliminations + FX = consolidated,CONSOLIDATION,0.0,0.0,0.0,,0.01,,PASS,LOW,"Largest gap across the union of account keys, compared per bucket (pre-elimination / elimination / FX) and in total, between an independent roll-up of the translated rows and entity_consolidation.csv",,PENDING,entity_consolidation.csv vs translate_statements(),CALCULATED
COMP001,FY2024,CONSOLIDATED,C8,Consolidated balance sheet balances (CTA included),CONSOLIDATION,0.0,0.0,0.0,,0.01,,PASS,LOW,Consolidated assets - liabilities - equity,,PENDING,entity_consolidation.csv statement_type=BS,CALCULATED
COMP001,FY2025,CONSOLIDATED,C8,Consolidated balance sheet balances (CTA included),CONSOLIDATION,0.0,0.0,0.0,,0.01,,PASS,LOW,Consolidated assets - liabilities - equity,,PENDING,entity_consolidation.csv statement_type=BS,CALCULATED
COMP001,FY2024,ENT_GMBH,C9,Source FX translation matches engine translation,FX,0.0,7.85,7.85,,0.5,,REVIEW,MEDIUM,BS: sum of |source-reported - calculated| across foreign-currency rows - known cause: source translated equity at closing rate; difference equals the CTA (docs/FX_AND_CONSOLIDATION.md #4),,PENDING,translate_statements() statement_type=BS,CALCULATED
COMP001,FY2024,ENT_GMBH,C9,Source FX translation matches engine translation,FX,0.0,0.0,0.0,,0.5,,PASS,LOW,IS: sum of |source-reported - calculated| across foreign-currency rows,,PENDING,translate_statements() statement_type=IS,CALCULATED
COMP001,FY2025,ENT_GMBH,C9,Source FX translation matches engine translation,FX,0.0,10.75,10.75,,0.5,,REVIEW,MEDIUM,BS: sum of |source-reported - calculated| across foreign-currency rows - known cause: source translated equity at closing rate; difference equals the CTA (docs/FX_AND_CONSOLIDATION.md #4),,PENDING,translate_statements() statement_type=BS,CALCULATED
COMP001,FY2025,ENT_GMBH,C9,Source FX translation matches engine translation,FX,0.0,0.0,0.0,,0.5,,PASS,LOW,IS: sum of |source-reported - calculated| across foreign-currency rows,,PENDING,translate_statements() statement_type=IS,CALCULATED
COMP001,FY2025,ENT_ELIM,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,-20.0,-20.0,0.0,0.0,0.01,,PASS,LOW,BS: 2 normalized rows vs 2 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_ELIM,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,0.0,0.0,0.0,,0.01,,PASS,LOW,IS: 2 normalized rows vs 2 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=IS,CALCULATED
COMP001,FY2024,ENT_GMBH,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,453.6,453.6,0.0,0.0,0.01,,PASS,LOW,BS: 8 normalized rows vs 8 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=BS,CALCULATED
COMP001,FY2024,ENT_GMBH,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,28.35,28.35,0.0,0.0,0.01,,PASS,LOW,IS: 6 normalized rows vs 6 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=IS,CALCULATED
COMP001,FY2025,ENT_GMBH,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,528.0,528.0,0.0,0.0,0.01,,PASS,LOW,BS: 8 normalized rows vs 8 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_GMBH,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,32.4,32.4,0.0,0.0,0.01,,PASS,LOW,IS: 6 normalized rows vs 6 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=IS,CALCULATED
COMP001,FY2024,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,1540.0,1540.0,0.0,0.0,0.01,,PASS,LOW,BS: 8 normalized rows vs 8 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=BS,CALCULATED
COMP001,FY2024,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,107.0,107.0,0.0,0.0,0.01,,PASS,LOW,IS: 6 normalized rows vs 6 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=IS,CALCULATED
COMP001,FY2025,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,1700.0,1700.0,0.0,0.0,0.01,,PASS,LOW,BS: 8 normalized rows vs 8 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,30.0,30.0,0.0,0.0,0.01,,PASS,LOW,CFS: 6 normalized rows vs 6 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=CFS,CALCULATED
COMP001,FY2025,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,520.0,520.0,0.0,0.0,0.01,,PASS,LOW,EQUITY: 4 normalized rows vs 4 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=EQUITY,CALCULATED
COMP001,FY2025,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,135.0,135.0,0.0,0.0,0.01,,PASS,LOW,IS: 6 normalized rows vs 6 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=IS,CALCULATED
COMP001,FY2025,ENT_PARENT,C10,Normalized layer reconciles to source statements,SOURCE_INTEGRITY,5.0,5.0,0.0,0.0,0.01,,PASS,LOW,OCI: 1 normalized rows vs 1 raw rows,,PENDING,client_fs_normalized.csv vs client_fs_raw.csv statement_type=OCI,CALCULATED
