item_id,ticker,company,year_label,return_pct,basis,source,url,date_verified,confidence,note
RR-11,PLD,Prologis,2017,25.94,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-12,PLD,Prologis,2018,-6.25,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-13,PLD,Prologis,2019,55.86,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-14,PLD,Prologis,2020,14.74,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-15,PLD,Prologis,2021,72.33,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-16,PLD,Prologis,2022,-31.33,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-17,PLD,Prologis,2023,21.58,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-18,PLD,Prologis,2024,-18.12,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-19,PLD,Prologis,2025,8.2,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/PLD/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-20,PLD,Prologis,2026 YTD,7.9,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily"
RR-21,EQIX,Equinix,2017,,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,RESEARCH REQUIRED - no verifiable source reachable from the build environment
RR-22,EQIX,Equinix,2018,-20.41,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-23,EQIX,Equinix,2019,68.86,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-24,EQIX,Equinix,2020,24.22,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-25,EQIX,Equinix,2021,20.28,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-26,EQIX,Equinix,2022,-21.13,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-27,EQIX,Equinix,2023,25.41,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-28,EQIX,Equinix,2024,19.45,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-29,EQIX,Equinix,2025,-16.88,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/EQIX/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-30,EQIX,Equinix,2026 YTD,38.19,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily"
RR-31,AMT,American Tower,2017,37.71,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-32,AMT,American Tower,2018,13.32,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-33,AMT,American Tower,2019,47.87,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-34,AMT,American Tower,2020,-0.48,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-35,AMT,American Tower,2021,32.89,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-36,AMT,American Tower,2022,-25.67,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-37,AMT,American Tower,2023,5.37,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-38,AMT,American Tower,2024,-12.16,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-39,AMT,American Tower,2025,-0.91,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/AMT/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-40,AMT,American Tower,2026 YTD,0.48,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily"
RR-41,DLR,Digital Realty,2017,,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,RESEARCH REQUIRED - no verifiable source reachable from the build environment (one search result's figure contradicted the owner's chart and was rejected)
RR-42,DLR,Digital Realty,2018,-3.0,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-43,DLR,Digital Realty,2019,16.52,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-44,DLR,Digital Realty,2020,20.37,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-45,DLR,Digital Realty,2021,30.66,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-46,DLR,Digital Realty,2022,-41.0,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-47,DLR,Digital Realty,2023,39.95,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-48,DLR,Digital Realty,2024,35.9,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-49,DLR,Digital Realty,2025,-10.07,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/DLR/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends
RR-50,DLR,Digital Realty,2026 YTD,23.86,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily"
