company_id,period_id,entity_id,standard_account_id,standard_account_name,statement_type,statement_section,pre_elimination_amount,intercompany_elimination,other_consolidation_adjustment,fx_translation_adjustment,consolidated_amount,reporting_currency,scenario,control_status,control_variance
COMP001,FY2025,CONSOLIDATED,cfs_debt_repayment,Debt Repayments,CFS,financing,-20.0,0.0,0.0,0.0,-20.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cfs_dividends_paid,Dividends Paid,CFS,financing,-45.0,0.0,0.0,0.0,-45.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cfs_capex,Capital Expenditures,CFS,investing,-70.0,0.0,0.0,0.0,-70.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cfs_change_in_nwc,Change in Net Working Capital,CFS,operating,-20.0,0.0,0.0,0.0,-20.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cfs_depreciation_amortization,Depreciation & Amortization Add-back,CFS,operating,50.0,0.0,0.0,0.0,50.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cfs_net_income,Net Income per Cash Flow Statement,CFS,operating,135.0,0.0,0.0,0.0,135.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,re_beginning,Retained Earnings Beginning Balance,EQUITY,retained_earnings,170.0,0.0,0.0,0.0,170.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,re_dividends,Dividends Declared,EQUITY,retained_earnings,-45.0,0.0,0.0,0.0,-45.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,re_ending,Retained Earnings Ending Balance,EQUITY,retained_earnings,260.0,0.0,0.0,0.0,260.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,re_net_income,Net Income per Equity Statement,EQUITY,retained_earnings,135.0,0.0,0.0,0.0,135.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cogs,Cost of Goods Sold,IS,cogs,-794.4,50.0,0.0,0.0,-744.4,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,depreciation_amortization,Depreciation & Amortization,IS,depreciation_amortization,-66.2,0.0,0.0,0.0,-66.2,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,interest_expense,Interest Expense,IS,interest,-25.4,0.0,0.0,0.0,-25.4,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,opex,Operating Expenses,IS,operating_expenses,-214.8,0.0,0.0,0.0,-214.8,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,revenue,Revenue,IS,revenue,1324.0,-50.0,0.0,0.0,1274.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,income_tax_expense,Income Tax Expense,IS,tax,-55.8,0.0,0.0,0.0,-55.8,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,oci_fx_translation,Foreign Currency Translation Adjustment,OCI,oci,5.0,0.0,0.0,0.0,5.0,USD,ACTUAL,PASS,0.0
