series_id,month,value,value_class,source_reference
participants:P1,2025-03,114.47,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-04,111.43,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-05,116.27,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-06,112.9,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-07,112.74,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-08,112.51,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-09,121.58,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-10,116.84,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-11,114.95,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-12,118.43,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-01,125.38,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-02,117.55,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-03,116.56,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-04,114.19,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-05,114.38,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-06,121.37,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-07,123.33,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-08,112.94,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2026-09,134.89,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2022-10,89381.54,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2022-11,88915.08,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2022-12,90034.88,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-01,87397.91,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-02,88560.02,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-03,91894.45,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-04,90494.18,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-05,92435.69,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-06,91396.97,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-07,93961.57,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-08,89827.06,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-09,92041.9,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-10,90684.03,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-11,92065.76,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2023-12,93957.87,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-01,94612.89,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-02,93164.52,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-03,94343.67,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-04,90839.79,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-05,92605.11,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-06,95715.74,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-07,95983.07,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-08,92251.17,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-09,95529.07,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-10,91729.05,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-11,97592.19,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2024-12,93554.38,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-01,94539.08,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-02,97271.51,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-03,97076.79,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-04,94373.72,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-05,95896.34,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-06,99572.23,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-07,97300.05,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-08,94050.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-09,101489.28,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-10,98305.22,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-11,96248.99,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2025-12,93422.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-01,95555.73,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-02,96383.55,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-03,98028.01,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-04,96295.64,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-05,98794.69,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-06,98874.57,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-07,104542.4,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-08,102029.51,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P1,2026-09,99904.69,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2022-10,320.39,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2022-11,304.78,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2022-12,309.44,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-01,353.78,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-02,347.17,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-03,346.7,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-04,326.99,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-05,334.86,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-06,342.58,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-07,328.3,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-08,350.17,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-09,369.52,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-10,356.15,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-11,358.1,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2023-12,359.09,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-01,361.88,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-02,334.08,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-03,358.4,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-04,344.01,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-05,346.12,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-06,361.74,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-07,356.88,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-08,367.02,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-09,406.23,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-10,361.96,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-11,355.25,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2024-12,369.03,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-01,392.35,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-02,390.85,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-03,381.2,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-04,373.68,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-05,368.51,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-06,391.63,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-07,370.16,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-08,364.05,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-09,376.31,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-10,393.65,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-11,383.84,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2025-12,393.2,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-01,401.77,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-02,376.61,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-03,383.86,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-04,388.47,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-05,379.56,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-06,412.7,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-07,410.48,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-08,429.79,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P2,2026-09,423.33,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2022-10,48454.94,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2022-11,49002.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2022-12,48390.84,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-01,49296.96,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-02,48292.84,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-03,47517.34,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-04,48507.93,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-05,49275.33,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-06,49185.24,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-07,47512.26,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-08,48219.38,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-09,49567.75,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-10,48909.38,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-11,49439.94,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2023-12,50276.85,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-01,48343.75,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-02,49860.0,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-03,49613.32,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-04,49417.3,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-05,50439.31,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-06,48496.54,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-07,51220.15,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-08,50001.75,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-09,50689.37,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-10,50573.6,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-11,50201.01,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2024-12,51606.88,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-01,49631.93,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-02,50632.61,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-03,51093.79,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-04,51598.28,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-05,52736.05,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-06,52138.78,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-07,53099.05,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-08,52215.13,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-09,50231.82,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-10,51398.51,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-11,52998.03,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2025-12,53339.09,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-01,52498.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-02,52072.4,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-03,52498.12,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-04,52401.43,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-05,52487.12,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-06,53848.98,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-07,51774.53,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-08,52963.16,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P2,2026-09,53834.41,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2022-10,200.47,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2022-11,210.65,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2022-12,201.58,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-01,210.48,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-02,201.32,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-03,219.15,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-04,226.19,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-05,216.42,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-06,208.9,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-07,209.26,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-08,215.77,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-09,232.79,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-10,221.17,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-11,213.3,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2023-12,219.94,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-01,232.42,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-02,221.6,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-03,211.32,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-04,223.3,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-05,226.84,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-06,223.27,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-07,223.51,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-08,222.1,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-09,241.45,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-10,211.3,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-11,230.16,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2024-12,229.58,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-01,255.84,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-02,234.74,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-03,236.63,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-04,251.78,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-05,229.75,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-06,242.91,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-07,227.73,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-08,225.62,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-09,247.1,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-10,246.37,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-11,224.04,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2025-12,250.75,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-01,245.74,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-02,242.62,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-03,249.42,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-04,262.54,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-05,243.99,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-06,237.82,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-07,252.66,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-08,246.88,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P3,2026-09,275.7,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2022-10,37722.15,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2022-11,38486.44,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2022-12,37525.69,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-01,35834.82,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-02,37029.98,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-03,37368.91,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-04,38774.46,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-05,38485.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-06,38528.16,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-07,37885.65,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-08,38698.71,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-09,39216.34,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-10,38236.29,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-11,38815.84,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2023-12,36928.84,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-01,38919.86,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-02,38135.98,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-03,38883.37,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-04,39014.95,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-05,39239.23,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-06,38463.92,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-07,39472.26,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-08,39295.58,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-09,39281.19,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-10,40868.91,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-11,39134.32,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2024-12,38691.19,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-01,39388.24,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-02,40636.0,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-03,39028.08,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-04,41629.76,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-05,40752.5,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-06,39882.86,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-07,40868.0,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-08,41479.2,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-09,40236.2,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-10,39985.4,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-11,40602.14,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2025-12,40953.16,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-01,40526.24,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-02,40933.95,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-03,40959.34,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-04,41490.47,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-05,41747.45,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-06,42822.95,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-07,41936.05,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-08,41112.89,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P3,2026-09,41898.1,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2022-10,714.95,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2022-11,734.95,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2022-12,735.98,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-01,820.69,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-02,752.28,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-03,741.72,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-04,781.55,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-05,793.02,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-06,775.11,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-07,747.02,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-08,726.22,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-09,829.72,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-10,787.59,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-11,824.96,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2023-12,779.87,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-01,815.32,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-02,790.0,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-03,788.49,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-04,791.9,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-05,779.3,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-06,842.53,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-07,827.37,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-08,828.81,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-09,827.62,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-10,803.47,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-11,826.92,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2024-12,842.82,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-01,911.02,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-02,849.17,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-03,795.0,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-04,847.75,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-05,812.83,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-06,830.73,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-07,834.32,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-08,886.34,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-09,890.04,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-10,848.95,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-11,869.75,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2025-12,887.51,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-01,915.29,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-02,839.27,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-03,892.37,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-04,882.31,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-05,882.54,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-06,914.45,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-07,860.0,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-08,889.16,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P4,2026-09,974.93,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2022-10,68882.69,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2022-11,69638.71,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2022-12,73584.74,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-01,70049.85,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-02,71656.97,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-03,72704.73,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-04,74187.26,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-05,74208.92,SYNTHETIC,financials/nfp_ml.py seed 777
cost:P4,2023-06,71821.02,SYNTHETIC,financials/nfp_ml.py seed 777
