area,ratio,formula,source_type,form_990_ref,worked_example,how_to_use,value_class
Restricted gifts,Release / Utilization Rate,Restrictions released to use / restricted balance,INTERNAL DATA,,ILLUSTRATION: $500K released / $2.5M restricted = 20%/yr,Slow releases = donor money idle; audit statement of activities shows releases,ASSUMPTION
Capital campaign,Pledge Coverage,Pledges + cash / campaign goal,MODULE,,MODULE: ($2.34M cash + $1.2M pledges) / $7.0M = 51% covered (tab 11),"Gate construction starts on coverage thresholds, not enthusiasm",ASSUMPTION
Capital campaign,Cash Collection Curve,Cumulative cash by month vs plan,MODULE,,MODULE: 12-month project cash roll on tab 11,The LOC bridge sizing comes straight off this curve,ASSUMPTION
Capital campaign,Project Cost Variance,Actual + committed cost / budget,INTERNAL DATA,,ILLUSTRATION: $5.6M committed / $5.4M budget = +3.7% - eats contingency,"Track against the contingency line, escalate before it is spent",ASSUMPTION
Capital campaign,Funding Gap,Uses - sources,MODULE,,MODULE: sources = uses control on tab 11 (currently $0),"A gap is a decision (raise, borrow, delay, descope) - never a hope",ASSUMPTION
Capital campaign,Debt Service Coverage,Cash available for debt service / debt service,990 PARTIAL,Part X lines 17-25 show debt; service needs internal amortization,MODULE: N/A - no current debt confirmed (tab 11),"Lenders want 1.2x+; compute before signing, not after",PUBLIC_RESEARCH
Endowment,Investment Return,Net investment gain / average balance,990 SCHEDULE,Schedule D Part V (endowment funds year roll),"MODULE SYNTHETIC: settings expected return 6.0% gross, 5.5% net","Judge over rolling 3-5 years against the spending rate, never one year",PUBLIC_RESEARCH
Endowment,Spending Rate,Distribution / beginning balance,990 SCHEDULE,Schedule D Part V,MODULE: 4% spending rate on $250K invested = $10K/yr mission funding (tab 9 ALT-3),Sustainable when spending <= real return (nominal return - inflation),PUBLIC_RESEARCH
Endowment,Total Return vs Benchmark,Portfolio return - policy benchmark return,INTERNAL DATA,,ILLUSTRATION: 5.8% actual vs 6.2% blended benchmark = -0.4pts,Persistent underperformance = investment committee conversation,ASSUMPTION
Endowment,Endowment / Annual Operating Expense,Endowment balance / annual expenses,990 PARTIAL,Schedule D Part V / Part IX line 25 col A,ILLUSTRATION: $5M endowment / $11.3M expenses (JSV FY2023 public) = 0.44 years,1.0x+ means a year of operations is shielded; below 0.25x the endowment is symbolic,PUBLIC_RESEARCH
DAFs,AUM Growth / Contributions / Grants Distributed,Year-over-year Schedule D DAF lines,990 SCHEDULE,"Schedule D Part I (DAF count, contributions, grants, year-end value)",JSV PUBLIC: FY2024 filing reports a donor-advised fund on Schedule D (tab 11 links),Grants out / assets shows whether DAF money is moving to mission or pooling,PUBLIC_RESEARCH
DAFs,Administrative Cost / AUM,Admin cost of the DAF program / assets,INTERNAL DATA,,ILLUSTRATION: $30K admin / $3M AUM = 1.0% - compare to community foundation fees,"If your cost beats the alternative's fee, in-house DAFs earn their keep",ASSUMPTION
Existing programs,Program Expense Ratio,Program expenses / total expenses,FORM 990,Part IX line 25 col B / col A,ILLUSTRATION: $8.5M program / $11.3M total = 75%,"Watchdogs like 70%+, but starving overhead starves controls - read with judgment",PUBLIC_RESEARCH
Existing programs,Cost per Participant,Program cost / participants,MODULE,,"MODULE: P3 Seniors $500K / 250 = $2,000 (tab 10)","Compare to the portfolio median, not zero - the outlier is the question",ASSUMPTION
Existing programs,Contribution Margin / Subsidy per Participant / Utilization,See tab 10 columns,MODULE,,MODULE: every program row on tab 10 carries all three,The classification matrix (mission x sustainability) turns these into verdicts,ASSUMPTION
New programs,Break-even Participants,Fixed costs / contribution per participant,MODULE,,MODULE: tab 9 ALT-2 staged pilot with GO/HOLD/STOP thresholds,"If break-even exceeds realistic capacity, the model is broken before launch",ASSUMPTION
New programs,Cash Burn / Funding Requirement / 3-Year Sustainability,Cumulative net cash by year,MODULE,,MODULE: ALT-2 five-year flows on tab 9,"Fund the burn THROUGH break-even plus cushion, or stage the investment",ASSUMPTION
Membership,Member Retention % / Churn %,Renewing members / prior members,INTERNAL DATA,,"ILLUSTRATION: 1,700 renewed / 2,000 prior = 85% retention, 15% churn",Retention is the cheapest revenue; model 9 on tab 13 shows the drift pattern,ASSUMPTION
Membership,Revenue per Member / LTV / Contribution Margin,Dues + usage revenue per member,990 PARTIAL,Part VIII line 2 (program service revenue detail lists membership dues),"ILLUSTRATION: $900/member x 85% retention -> LTV ~ $900 x 1/(1-0.85) = $6,000",LTV justifies acquisition spend; margin says whether growth helps or hurts,PUBLIC_RESEARCH
Facilities,Occupancy Cost %,Occupancy expense / total expense,FORM 990,Part IX line 16 / line 25 col A,ILLUSTRATION: $1.1M occupancy / $11.3M = 10%,"Facility-heavy orgs (JCC pools, campuses) run high - trend matters more than level",PUBLIC_RESEARCH
Facilities,CapEx / Depreciation,Capital additions / depreciation expense,990 PARTIAL,Part X line 10 change + Part IX line 22,MODULE: corporate twin on tab 2 (CapEx/D&A 1.06x) - same read for NFP,"Below 1.0x for years = the building is being consumed, not maintained",PUBLIC_RESEARCH
Facilities,NPV / IRR / Payback (lease vs buy),Standard capital math on facility flows,MODULE,,MODULE: Math Reference tab 7 derives all three from scratch,"Same math as corporate - the mission benefit is scored separately, never buried in NPV",ASSUMPTION
Staffing,Compensation / Revenue,Total comp / total revenue,FORM 990,Part IX lines 5+7+8+9+10 col A / Part VIII line 12,ILLUSTRATION: $6.2M comp / $10.2M revenue (JSV FY2023 public revenue) = 61%,People-intensive services run 50-70%; the trend and the mix matter,PUBLIC_RESEARCH
Staffing,Revenue per FTE,Total revenue / FTE count,990 PARTIAL,Part VIII line 12 / Part I line 5 (employee count),ILLUSTRATION: $10.2M / 120 employees = $85K per head,Falling revenue per FTE while headcount grows = affordability question,PUBLIC_RESEARCH
Staffing,Benefits % / Vacancy / Overtime,Benefits / total comp; open roles; OT hours,990 PARTIAL,Part IX lines 8+9 / lines 5+7 for benefits share,ILLUSTRATION: $1.2M benefits / $5.0M salaries = 24%,Vacancy and overtime are internal - they explain service gaps the 990 cannot,PUBLIC_RESEARCH
Vendors,Vendor Concentration / Cost per Unit / TCO,Largest vendor / total vendor spend,990 PARTIAL,Part VII Section B lists the five highest-paid contractors over $100K,ILLUSTRATION: top contractor $400K / $2M vendor spend = 20%,The 990 shows only the top five - real concentration analysis needs the AP ledger,PUBLIC_RESEARCH
Technology,ROI / NPV / Payback / Cost per Transaction,Standard investment math on tech flows,MODULE,,MODULE: same engine as tab 9 alternatives; hours saved x loaded rate = the benefit line,Demand a benefits owner for every line - unowned benefits never materialize,ASSUMPTION
Cash/liquidity,Days Cash on Hand,(Cash + equivalents) / (annual expense - depreciation) x 365,FORM 990,(Part X lines 1+2) / ((Part IX line 25A - line 22) / 365),MODULE SYNTHETIC: $1.8M / ($5.4M/365) = ~122 days = 4.0 months (tab 12),The board policy is months-cash >= 3.0; restricted cash NEVER counts,PUBLIC_RESEARCH
Cash/liquidity,Current Ratio,Near-term assets / near-term liabilities,990 PARTIAL,Part X lines 1-9 vs 17-19 approximate it (990 is not a classified balance sheet),MODULE: corporate twin on tab 2 shows the full mechanics (3.98x fixture),Use the audit's classified balance sheet for the real number,PUBLIC_RESEARCH
Cash/liquidity,Operating Reserve Ratio,Unrestricted liquid net assets / annual expense,990 PARTIAL,"Part X line 27 (less fixed assets, net of related debt) / Part IX 25A",ILLUSTRATION: JSV board reserve ~$697K (FY2023 public) / $11.3M = 6% = ~23 days,Sector guidance often targets 25%+ (3 months); this is the ratio that shields the mission,PUBLIC_RESEARCH
Budget,Operating Margin,(Revenue - expense) / revenue,FORM 990,Part I line 19 / line 12,"JSV PUBLIC FY2023: ($10.17M - $11.27M) / $10.17M = -10.8% (aggregator figures, tab 11)","A deficit year is a fact, not a verdict - ask what funded it (reserves? restricted releases?)",PUBLIC_RESEARCH
Budget,Revenue / Expense Growth,This year / last year - 1,FORM 990,Compare Part I lines 12 and 18 across filings,JSV PUBLIC: revenue $10.17M (FY23) -> ~$12.6M (FY24) = ~+24%,Growth with margin recovery = health; growth with widening deficit = scale without model,PUBLIC_RESEARCH
Budget,Budget Variance / Forecast Accuracy,Actual vs budget / vs forecast,INTERNAL DATA,,ILLUSTRATION: actual $11.3M vs budget $11.0M = +2.7% variance,Not on any 990 - this is the monthly management pack; accuracy builds board trust,ASSUMPTION
Risk,Liquidity Risk / Scenario Downside / Reserve Coverage,Months cash under stress; reserve draw,MODULE,,MODULE: STRESS scenario months-cash and reserve-draw on tab 9,The stress row is the risk appetite conversation in one number,ASSUMPTION
Risk,Insurance Coverage,Coverage limits vs exposure,INTERNAL DATA,,ILLUSTRATION: $5M facility exposure vs $3M property limit = $2M retained risk,Not on the 990 - the schedule of insurance is a board-book staple,ASSUMPTION
Board decisions,KPI Dashboard + Forecast + Liquidity + Economics + Risk + Scenarios,The integrated view,MODULE,,"MODULE: tab 12 IS this - position, ten questions, actions, CFO script, controls","The CFO brings one integrated page, not eighteen spreadsheets",ASSUMPTION
